NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-038,793259,T476,1,TUBE STEEL,4.47,71.247,7.76,HSS,6 x 4 x 0.25,GF - Fabrication Req'd After Galvanizing,1,2,Fab/Layout,57,0.0
23-038,793259,T476,1,TUBE STEEL,4.47,71.247,7.76,HSS,6 x 4 x 0.25,GF - Fabrication Req'd After Galvanizing,1,2,Weld,7,0.0
23-038,811365,HR124,1,RAIL,18.5,67.578,9.02,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Fab/Layout,1904,1.01666
23-038,811365,HR124,1,RAIL,18.5,67.578,9.02,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Material Handling,126,0.31296
23-038,811365,HR124,1,RAIL,18.5,67.578,9.02,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Weld,296,0.0
23-038,811369,HR167,1,RAIL,17.42,65.119,8.55,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Fab/Layout,1157,0.49027
23-038,811369,HR167,1,RAIL,17.42,65.119,8.55,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Material Handling,110,0.14731
23-038,811369,HR167,1,RAIL,17.42,65.119,8.55,PI,1 1/4SCH40,"D - Steel, Paint All",2,8,Weld,318,0.0
23-038,811631,A368,1,ANGLE,5.17,87.128,17.78,L,3 x 3 x 1/4,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Fab/Layout,2806,2.26204
23-038,811631,A368,1,ANGLE,5.17,87.128,17.78,L,3 x 3 x 1/4,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Weld,1360,0.76118
